district,school_name,project_#,description,fy_constr_start,total
05,P.S. 92 - Manhattan,DSF0000731386,State of Good Repair - Building Upgrade - Boiler Conversion,2013,4361022
05,P.S. 92 - Manhattan,DSF0000739964,State of Good Repair - System Replacements - Parapets,2013,451545
05,P.S. 92 - Manhattan,DSF0000752821,State of Good Repair - System Replacements - Roofs,2013,1908343
05,P.S. 92 - Manhattan,DSF0000775542,Educational Enhancements - Educational Enhancements - School Improvement and,2013,104000
05,P.S. 92 - Manhattan,DSF0000798582,Educational Enhancements - Educational Enhancements - School Improvement and,2014,62572
05,P.S. 123 - Manhattan,DSF0000740294,State of Good Repair - System Replacements - Roofs,2013,1323042
05,P.S. 123 - Manhattan,DSF0000740297,Educational Enhancements - Educational Enhancements - School Improvement and,2013,200669
05,P.S. 123 - Manhattan,DSF0000752348,State of Good Repair - Building Upgrade - Boiler Conversion,2013,3982940
05,P.S. 123 - Manhattan,DSF0000752349,State of Good Repair - Building Upgrade - Climate Control,2013,1381516
05,P.S. 123 - Manhattan,DSF0000763274,State of Good Repair - System Replacements - Parapets,2013,651102
05,P.S. 123 - Manhattan,DSF0000763275,State of Good Repair - System Replacements - Exterior Masonry,2013,1574830
05,P.S. 123 - Manhattan,DSF0000763282,State of Good Repair - System Replacements - Auditorium Upgrade,2013,248360
05,P.S. 125 - Manhattan,DSF0000697981,Educational Enhancements - Educational Enhancements - Charter/Innovative Schools,2011,183000
05,P.S. 125 - Manhattan,DSF0000710019,Educational Enhancements - Educational Enhancements - Charter/Innovative Schools,2011,29940
05,P.S. 125 - Manhattan,DSF0000710022,Educational Enhancements - Educational Enhancements - Charter/Innovative Schools,2011,2269845
05,P.S. 125 - Manhattan,DSF0000731148,Educational Enhancements - Educational Enhancements - Charter/Innovative Schools,2012,239924
05,P.S. 125 - Manhattan,DSF0000731205,Educational Enhancements - Educational Enhancements - Charter/Innovative Schools,2012,97156
05,P.S. 125 - Manhattan,DSF0000753050,Educational Enhancements - Educational Enhancements - Charter/Innovative Schools,2014,2952328
05,P.S. 125 - Manhattan,DSF0000776028,Educational Enhancements - Educational Enhancements - School Improvement and,2014,319283
